group_id,symbol_count,symbols,assessment,consolidation_safety,risk
DUP-G001,3,src/x86decomp/analysis_db.py:AnalysisDatabase.close:81; src/x86decomp/orchestrator.py:Orchestrator.close:263; src/x86decomp/project_state.py:ProjectStateDatabase.close:130,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G002,2,src/x86decomp/assembly/cli.py:_int:42; src/x86decomp/cli.py:_int:170,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G003,3,src/x86decomp/assembly/store.py:AssemblyStore.decode:108; src/x86decomp/native/store.py:NativeStore.decode:123; src/x86decomp/reconstruction/store.py:ReconstructionStore.decode:173,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G004,2,src/x86decomp/canonical.py:main:300; src/x86decomp/native/cli.py:main:142,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G005,2,src/x86decomp/cli.py:_path:165; test-suite/src/x86decomp_testkit/cli.py:_path:17,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G006,8,src/x86decomp/governance/campaigns.py:CampaignEngine.__init__:17; src/x86decomp/governance/consensus.py:ConsensusEngine.__init__:14; src/x86decomp/governance/hypotheses.py:HypothesisLedger.__init__:79; src/x86decomp/governance/knowledge_graph.py:KnowledgeGraph.__init__:14; src/x86decomp/governance/plugins.py:PluginRegistry.__init__:19; src/x86decomp/governance/proofs.py:ProofLedger.__init__:22; src/x86decomp/governance/reviews.py:ReviewQueue.__init__:15; src/x86decomp/governance/workers.py:WorkerRegistry.__init__:15,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G007,2,src/x86decomp/governance/campaigns.py:CampaignEngine.start:114; src/x86decomp/governance/campaigns.py:CampaignEngine.resume:138,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G008,2,src/x86decomp/governance/cli.py:main:222; src/x86decomp/reconstruction/cli.py:main:447,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G009,2,src/x86decomp/mcp.py:StdioMCPClient._ensure_initialized:130; src/x86decomp/mcp.py:StreamableHTTPMCPClient._ensure_initialized:291,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G010,2,src/x86decomp/mcp.py:StdioMCPClient.call_tool:163; src/x86decomp/mcp.py:StreamableHTTPMCPClient.call_tool:306,Substantive normalized duplicate requiring contextual comparison.,Manual comparison required before consolidation.,Medium regression risk if consolidated mechanically.
DUP-G011,3,src/x86decomp/mcp.py:StdioMCPClient.__exit__:198; src/x86decomp/orchestrator.py:Orchestrator.__exit__:271; src/x86decomp/project_state.py:ProjectStateDatabase.__exit__:138,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
DUP-G012,8,src/x86decomp/native/closed_loop.py:ClosedLoop.__init__:16; src/x86decomp/native/hybrid_composer.py:HybridComposer.__init__:16; src/x86decomp/native/matching.py:FunctionMatching.__init__:83; src/x86decomp/native/pe_reconstruction.py:PEReconstruction.__init__:70; src/x86decomp/native/runtime.py:RuntimeValidation.__init__:17; src/x86decomp/native/slots.py:FunctionSlots.__init__:51; src/x86decomp/native/staging.py:StagingBridge.__init__:28; src/x86decomp/native/windows_tools.py:WindowsTools.__init__:43,Small structural duplicate; likely conventional wrapper or initializer.,Consolidate only if dependency direction and error semantics remain clear.,Low; abstraction may cost more than duplication.
