inventory_id,relative_path,sha256,size_bytes,extension,detected_type,text_or_binary,tracked_status,ignored_status,symlink_target,classification,likely_role,review_level,audit_status,per_file_report,notes
F0001,.github/workflows/ci.yml,fce06d638822e58fcc637f8e784c1d37f6cacf11bc38e0469628f8d98484f324,3032,.yml,YAML,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,"Build, verification, or automation","Continuous-integration workflow for regression, packaging, and harness jobs.",Complete-content text/source review,Audited — complete,files/F0001__.github__workflows__ci.yml.md,"Findings: COR-001,MAINT-001"
F0002,.gitignore,58abf0edcb5db282fa19446770625c0d07ae4f5b650b8265df87cb2171bd2939,370,,Git ignore rules,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Configuration or packaging,Repository git ignore rules asset.,Complete-content text/source review,Audited — complete,files/F0002__.gitignore.md,
F0003,AGENTS.md,63a01156035245a7636fdf8c71cde7e1911307cb40146c10bd26f0556fe73efc,2552,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Agent and contributor operating rules — 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0003__AGENTS.md.md,"2 line(s) exceed 140 characters | 1 marker-word occurrence(s), all context-reviewed"
F0004,ALL_FILE_MANIFEST_0.7.11.json,8a46d1af9c76146324acc0557a5a129e3df380bee160e78d6b5e2f2a93215861,93216,.json,JSON,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Generated verification artifact,Deterministic package/source inventory or hash manifest.,Complete-content text/source review,Audited — complete,files/F0004__ALL_FILE_MANIFEST_0.7.11.json.md,Findings: REL-001
F0005,AUDIT_READ_RECEIPT_0.7.11.json,51791e2447351e3e3f3b4bd83f1e3897c49871ec0483fc9023a05ea1b7758942,32247,.json,JSON,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Generated verification artifact,"Structured repository data with top-level keys: all_original_files_still_present, all_original_hashes_unchanged, audit_read_manifest_file_sha256, audit_root, files, files_read_in_full, original_audit_file_count, read_manifest_sha256.",Complete-content text/source review,Audited — complete,files/F0005__AUDIT_READ_RECEIPT_0.7.11.json.md,
F0006,AUDIT_REMEDIATION_CHANGELOG.md,d04981aecdef6832064987fb59e4e33de95a7823ab3c5a9959c7a713b244d970,8920,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Audit remediation changelog — x86decomp-toolkit 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0006__AUDIT_REMEDIATION_CHANGELOG.md.md,37 line(s) exceed 140 characters
F0007,AUDIT_REMEDIATION_VERIFICATION_0.7.11.json,11b39e83f49adae84e3b67b0f0fd246f6edfd61cf84623dca683e556fe474804,9739,.json,JSON,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Generated verification artifact,"Structured repository data with top-level keys: audit_read, coverage, docstrings, finding_coverage, findings, gates, release, schema_version.",Complete-content text/source review,Audited — complete,files/F0007__AUDIT_REMEDIATION_VERIFICATION_0.7.11.json.md,10 line(s) exceed 140 characters
F0008,CHANGELOG.md,597d519caba43aeed63542c2a2d17a997a66ba71853c2bdb5ecfefdf1a80ffa9,1090,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Changelog'.,Complete-content text/source review,Audited — complete,files/F0008__CHANGELOG.md.md,4 line(s) exceed 140 characters
F0009,DOCSTRING_AUDIT_0.7.11.json,f57db971aec207989637aaa0e5a7f6e7cd11400f4a5cbdc849645d17cd5f4cd0,24191,.json,JSON,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Generated verification artifact,"Structured repository data with top-level keys: audited_file_count, audited_files_sha256, generated_at, missing_docstrings, passed, python_docstring_coverage, quality_checks, release.",Complete-content text/source review,Audited — complete,files/F0009__DOCSTRING_AUDIT_0.7.11.json.md,"6 line(s) exceed 140 characters | Findings: REL-001,DOC-001"
F0010,DOCSTRING_AUDIT_0.7.11.md,7f49e3d1d3652f420702f78f413d5987bb4c9c2db072a87c1c316775e6dc988f,464,.md,Markdown,text,Unavailable — source archive contains no .git metadata,Unavailable — source archive contains no .git metadata,,Documentation,Documentation centered on 'Docstring audit — 0.7.11'.,Complete-content text/source review,Audited — complete,files/F0010__DOCSTRING_AUDIT_0.7.11.md.md,"Findings: REL-001,DOC-001"
